station_id,triplet,name,state,lat,lon,elevation_m
731,731:WY:SNTL,Sand Lake,WY,41.4625,-106.281,3072.4
732,732:WY:SNTL,Sandstone RS,WY,41.11179,-107.17043,2484.1
751,751:WY:SNTL,Shell Creek,WY,44.50012,-107.42947,2916.9
764,764:WY:SNTL,Snake River Station,WY,44.13361,-110.66917,2103.1
765,765:WY:SNTL,Snider Basin,WY,42.4949,-110.53203,2462.8
1132,1132:WY:SNTL,Soldier Park,WY,44.34847,-107.0136,2645.7
772,772:WY:SNTL,South Brush Creek,WY,41.3295,-106.5025,2584.7
775,775:WY:SNTL,South Pass,WY,42.57314,-108.84324,2755.4
779,779:WY:SNTL,Spring Creek Divide,WY,42.52516,-110.66148,2749.3
786,786:WY:SNTL,St. Lawrence Alt,WY,43.03312,-109.17021,2624.3
798,798:WY:SNTL,Sucker Creek,WY,44.72279,-107.40035,2694.4
806,806:WY:SNTL,Sylvan Lake,WY,44.47764,-110.15651,2572.5
807,807:WY:SNTL,Sylvan Road,WY,44.47825,-110.03808,2176.3
816,816:WY:SNTL,Thumb Divide,WY,44.36917,-110.57717,2429.3
818,818:WY:SNTL,Tie Creek,WY,44.81243,-107.41017,2148.8
819,819:WY:SNTL,Timber Creek,WY,44.0274,-109.17879,2411.0
822,822:WY:SNTL,Togwotee Pass,WY,43.74902,-110.0578,2923.0
826,826:WY:SNTL,Townsend Creek,WY,42.69525,-108.89572,2657.9
831,831:WY:SNTL,Triple Peak,WY,42.76393,-110.5914,2596.9
837,837:WY:SNTL,Two Ocean Plateau,WY,44.15178,-110.22122,2816.4
852,852:WY:SNTL,Webber Springs,WY,41.1591,-106.92809,2819.4
859,859:WY:SNTL,Whiskey Park,WY,41.00368,-106.90795,2728.0
868,868:WY:SNTL,Willow Creek,WY,42.81513,-110.83515,2456.7
872,872:WY:SNTL,Windy Peak,WY,42.27991,-105.57782,2404.9
875,875:WY:SNTL,Wolverine,WY,44.80417,-109.657,2334.8
878,878:WY:SNTL,Younts Peak,WY,43.93225,-109.81775,2542.0
